Scheme Name,Net Asset Value
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option,10.0918
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option,10.3016
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION,10.7652
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION,22.7377
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION,10.0555
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION,10.1920
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,19.4992
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),12.1068
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION,18.4722
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),11.4679
DSP Corporate Bond Fund - Direct - Growth,13.5328
DSP Corporate Bond Fund - Direct - IDCW,11.3084
DSP Corporate Bond Fund - Direct - IDCW - Monthly,10.4294
DSP Corporate Bond Fund - Direct - IDCW - Quarterly ,11.1587
DSP Corporate Bond Fund - Regular - Growth,13.3809
DSP Corporate Bond Fund - Regular - IDCW,11.2634
DSP Corporate Bond Fund - Regular - IDCW - Monthly,10.4099
DSP Corporate Bond Fund - Regular - IDCW - Quarterly ,10.5257
Franklin India Corporate Debt Fund - Direct - Bonus,0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH,88.5378
Franklin India Corporate Debt Fund - Growth,82.8106
Franklin India Corporate Debt Fund - Monthly Bonus,0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,17.2621
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW,19.1339
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW,14.8713
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW,16.4118
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW,13.6328
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,13.0662
